Fish #,No.cells,Strain,Stain,Time
129,78,tet2 -/-,mpx,48 hpf
130,94,tet2 -/-,mpx,48 hpf
131,103,tet2 -/-,mpx,48 hpf
132,87,tet2 -/-,mpx,48 hpf
133,114,tet2 -/-,mpx,48 hpf
134,92,tet2 -/-,mpx,48 hpf
135,108,tet2 -/-,mpx,48 hpf
136,80,tet2 -/-,mpx,48 hpf
137,85,tet2 -/-,mpx,48 hpf
138,124,tet2 -/-,mpx,48 hpf
139,20,tet2 wt/wt,pu.1,24 hpf
140,12,tet2 wt/wt,pu.1,24 hpf
141,30,tet2 wt/wt,pu.1,24 hpf
142,29,tet2 wt/wt,pu.1,24 hpf
143,50,tet2 wt/wt,pu.1,24 hpf
144,16,tet2 wt/wt,pu.1,24 hpf
145,25,tet2 wt/wt,pu.1,24 hpf
146,16,tet2 wt/wt,pu.1,24 hpf
147,38,tet2 wt/wt,pu.1,24 hpf
148,21,tet2 wt/wt,pu.1,24 hpf
149,49,tet2 wt/wt,pu.1,24 hpf
150,35,tet2 wt/wt,pu.1,24 hpf
151,26,tet2 wt/wt,pu.1,24 hpf
152,35,tet2 wt/wt,pu.1,24 hpf
153,41,tet2 wt/wt,pu.1,24 hpf
154,27,tet2 wt/wt,pu.1,24 hpf
155,37,tet2 wt/wt,pu.1,24 hpf
156,13,tet2 wt/wt,pu.1,24 hpf
157,23,tet2 wt/wt,pu.1,24 hpf
158,32,tet2 wt/wt,pu.1,24 hpf
159,20,tet2 wt/wt,pu.1,24 hpf
160,19,tet2 wt/wt,pu.1,24 hpf
161,11,tet2 -/-,pu.1,24 hpf
162,20,tet2 -/-,pu.1,24 hpf
163,0,tet2 -/-,pu.1,24 hpf
164,12,tet2 -/-,pu.1,24 hpf
165,9,tet2 -/-,pu.1,24 hpf
166,11,tet2 -/-,pu.1,24 hpf
167,9,tet2 -/-,pu.1,24 hpf
168,6,tet2 -/-,pu.1,24 hpf
169,0,tet2 -/-,pu.1,24 hpf
170,13,tet2 -/-,pu.1,24 hpf
171,7,tet2 -/-,pu.1,24 hpf
172,6,tet2 -/-,pu.1,24 hpf
173,8,tet2 -/-,pu.1,24 hpf
174,5,tet2 -/-,pu.1,24 hpf
175,60,tet2 wt/wt,mpx,28 hpf
176,83,tet2 wt/wt,mpx,28 hpf
177,47,tet2 wt/wt,mpx,28 hpf
178,40,tet2 wt/wt,mpx,28 hpf
179,44,tet2 wt/wt,mpx,28 hpf
180,43,tet2 wt/wt,mpx,28 hpf
181,74,tet2 wt/wt,mpx,28 hpf
182,39,tet2 wt/wt,mpx,28 hpf
183,40,tet2 wt/wt,mpx,28 hpf
184,40,tet2 wt/wt,mpx,28 hpf
185,65,tet2 wt/wt,mpx,28 hpf
186,45,tet2 wt/wt,mpx,28 hpf
187,53,tet2 wt/wt,mpx,28 hpf
188,23,tet2 wt/wt,mpx,28 hpf
189,46,tet2 wt/wt,mpx,28 hpf
190,43,tet2 wt/wt,mpx,28 hpf
191,62,tet2 wt/wt,mpx,28 hpf
192,28,tet2 -/-,mpx,28 hpf
193,37,tet2 -/-,mpx,28 hpf
194,32,tet2 -/-,mpx,28 hpf
195,45,tet2 -/-,mpx,28 hpf
196,52,tet2 -/-,mpx,28 hpf
197,51,tet2 -/-,mpx,28 hpf
198,45,tet2 -/-,mpx,28 hpf
199,35,tet2 -/-,mpx,28 hpf
200,37,tet2 -/-,mpx,28 hpf
201,50,tet2 -/-,mpx,28 hpf
202,59,tet2 -/-,mpx,28 hpf
203,71,tet2 -/-,mpx,28 hpf
204,27,tet2 -/-,mpx,28 hpf
205,61,tet2 -/-,mpx,28 hpf
206,73,tet2 -/-,mpx,28 hpf
207,38,tet2 -/-,mpx,28 hpf
208,42,tet2 wt/wt,mpx,28 hpf
209,46,tet2 wt/wt,mpx,28 hpf
210,31,tet2 wt/wt,mpx,28 hpf
211,44,tet2 wt/wt,mpx,28 hpf
212,42,tet2 wt/wt,mpx,28 hpf
213,39,tet2 wt/wt,mpx,28 hpf
214,26,tet2 wt/wt,mpx,28 hpf
215,16,tet2 wt/wt,mpx,28 hpf
216,29,tet2 wt/wt,mpx,28 hpf
217,25,tet2 wt/wt,mpx,28 hpf
218,38,tet2 wt/wt,mpx,28 hpf
219,30,tet2 wt/wt,mpx,28 hpf
220,20,tet2 wt/wt,mpx,28 hpf
221,39,tet2 wt/wt,mpx,28 hpf
222,36,tet2 wt/wt,mpx,28 hpf
223,34,tet2 wt/wt,mpx,28 hpf
224,37,tet2 wt/wt,mpx,28 hpf
225,24,tet2 wt/wt,mpx,28 hpf
226,12,tet2 wt/wt,mpx,28 hpf
227,33,tet2 -/-,mpx,28 hpf
228,16,tet2 -/-,mpx,28 hpf
